node_id,relation,target_id,source_path,target_path,notes
engine_unified_kernel,depends_on,mod_core_embedding_generator,src/unification/kernel.py,src/core/embedding_generator.py,Loads EmbeddingGenerator in load_engines()
engine_unified_kernel,depends_on,mod_delta144_engine,src/unification/kernel.py,src/archetypes/delta144_engine.py,Loads Delta144Engine in load_engines()
engine_unified_kernel,depends_on,mod_bias_detector,src/unification/kernel.py,src/bias/detector.py,Loads BiasDetector in load_engines()
engine_unified_kernel,depends_on,mod_tau_layer,src/unification/kernel.py,src/tau/tau_layer.py,Loads TauLayer in load_engines()
engine_unified_kernel,depends_on,mod_safeguard_engine,src/unification/kernel.py,src/safeguard/safeguard_engine.py,Loads SafeguardEngine in load_engines()
engine_unified_kernel,depends_on,mod_registry,src/unification/kernel.py,src/unification/registry.py,Uses ModuleRegistry
engine_unified_kernel,depends_on,mod_orchestrator,src/unification/kernel.py,src/unification/orchestrator.py,Creates PipelineOrchestrator
mod_orchestrator,depends_on,mod_registry,src/unification/orchestrator.py,src/unification/registry.py,Access modules via registry
mod_core_master_engine,depends_on,mod_delta144_engine,src/core/kaldra_master_engine.py,src/archetypes/delta144_engine.py,Uses Delta144Engine for base inference
mod_core_master_engine,depends_on,mod_kindra_cultural_mod,src/core/kaldra_master_engine.py,src/kindras/kindra_cultural_mod.py,Uses KaldraKindraCulturalMod for modulation
mod_core_master_engine,depends_on,mod_tw369_integrator,src/core/kaldra_master_engine.py,src/tw369/tw369_integration.py,Uses TW369Integrator for drift
mod_core_master_engine,depends_on,mod_tau_layer,src/core/kaldra_master_engine.py,src/tau/tau_layer.py,Uses TauLayer for epistemic limits
mod_core_master_engine,depends_on,mod_safeguard_engine,src/core/kaldra_master_engine.py,src/safeguard/safeguard_engine.py,Uses SafeguardEngine for safety
mod_core_master_engine,depends_on,mod_delta12_vector,src/core/kaldra_master_engine.py,src/archetypes/delta12_vector.py,Uses Delta12Vector
mod_core_master_engine,depends_on,mod_hardening_fallbacks,src/core/kaldra_master_engine.py,src/core/hardening/fallbacks.py,Uses safe_fallback decorator
